"wind_farm","season","total_wind_speed","count_wind_speed","total_rotor_speed","count_rotor_speed","avg_wind_speed","avg_rotor_speed"
"A","Fall",1481703.4,260719,2315298.7,260719,5.68314315412379,8.88043717565655
"A","Spring",1801754.6,265458,2723476.3,265458,6.78734338388747,10.2595374786219
"A","Summer",1734290,265585,2469492.3,265585,6.53007511719412,9.29831240469153
"A","Winter",1456156.7,252391,2298163.6,252391,5.76944780122905,9.10556874056523
"B","Fall",2042952.68,221853,1650295.31,221853,9.20858712751236,7.43868827556986
"B","Spring",1523527.61,201716,1256346.7,201716,7.55283472803347,6.22829473120625
"B","Summer",1554043.46,228234,1441395.15,228234,6.80899191180981,6.31542693025579
"B","Winter",2303852.96,207262,1565831.93,207262,11.1156553540929,7.55484329013519
"C","Fall",582637.935,56293,504927.8237,56293,10.3500956602064,8.96963785372959
"C","Spring",467191.8116,52704,434168.8942,52704,8.86444694140862,8.23787367562234
"C","Summer",442068.7629,54811,395867.9371,54811,8.0653292751455,7.22241770994873
"C","Winter",671995.4495,56737,579504.0024,56737,11.8440426793803,10.2138640111391
